B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
8 ,8 ,1 ,19824 ,20826 ,11 ,11 ,1567 ,1534 ,3 ,0 
20 ,31 ,1 ,22771 ,24531 ,14 ,10 ,1903 ,1540 ,3 ,0 
13 ,28 ,1 ,15540 ,21174 ,10 ,10 ,1566 ,1909 ,3 ,0 
49 ,52 ,1 ,19002 ,22619 ,14 ,10 ,2455 ,2292 ,3 ,0 
19 ,33 ,1 ,19486 ,23088 ,15 ,9 ,2070 ,1535 ,3 ,0 
20 ,30 ,1 ,16793 ,20647 ,17 ,7 ,2729 ,1205 ,3 ,0 
29 ,45 ,1 ,22538 ,22835 ,12 ,8 ,1770 ,1466 ,3 ,0 
15 ,29 ,1 ,18262 ,19974 ,12 ,9 ,2014 ,1812 ,3 ,0 
13 ,10 ,1 ,11561 ,15084 ,14 ,9 ,2118 ,1526 ,3 ,0 
7 ,8 ,1 ,14737 ,18487 ,11 ,10 ,1655 ,1610 ,3 ,0 
13 ,31 ,1 ,22125 ,23301 ,7 ,10 ,932 ,1385 ,2 ,0 
26 ,36 ,1 ,16818 ,21284 ,15 ,11 ,2475 ,2014 ,3 ,0 
8 ,16 ,1 ,17292 ,20785 ,8 ,9 ,1010 ,1316 ,3 ,0 
33 ,46 ,1 ,20694 ,21685 ,9 ,7 ,2141 ,2459 ,3 ,0 
0 ,0 ,1 ,23625 ,22043 ,7 ,1 ,590 ,70 ,3 ,1 
14 ,29 ,1 ,20380 ,21763 ,11 ,9 ,1781 ,1428 ,3 ,0 
17 ,20 ,1 ,18378 ,21808 ,12 ,9 ,1771 ,1615 ,3 ,0 
13 ,13 ,1 ,18679 ,19242 ,13 ,8 ,1937 ,1232 ,3 ,0 
7 ,7 ,1 ,21087 ,23749 ,10 ,9 ,1482 ,1514 ,3 ,0 
17 ,30 ,1 ,24319 ,25497 ,13 ,10 ,1915 ,1564 ,3 ,0 
