B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1
23.50333333,35,24926,24897,21942,24477,14,8,2109,1448,0,2
15.1498,14,15743,19843,15743,19843,14,8,2589,1789,0,3
22.56855556,35,19604,22935,19604,22935,12,7,2340,1956,0,6
22.32466667,44,20195,23105,20195,23105,11,8,1514,1389,0,3
15.07735,25,16617,21129,16617,21129,14,8,2252,1656,0,3
10.14021429,7,16051,21179,14476,20662,14,10,2204,1565,0,3
22.0034,31,21040,23875,21040,23875,14,7,2436,1823,0,3
28.76684211,47,17986,20458,17986,20458,12,9,2005,1940,0,6
7.084681818,7,17734,20241,16681,19827,10,9,1557,1510,0,3
22.08530769,33,15709,19105,15709,19105,10,8,1456,1313,0,1
38.09277778,61,23821,25740,23821,25740,11,7,2037,1994,0,2
7.696777778,5,20847,22938,18446,23709,13,8,1987,1260,0,6
30.12292308,41,20657,23500,20657,23500,12,8,2077,1962,0,3
16.99388235,28,18215,21523,16477,20505,13,11,2178,2071,0,5
7.698473684,5,19443,23968,19443,23968,12,8,1935,1280,0,4
13.60330769,7,16640,20074,16640,20074,14,8,2376,1575,0,1
9.872,8,16506,22642,16506,22642,14,10,2146,1681,0,8
14.82811765,26,18317,20164,18317,20164,11,8,1752,1563,0,5
24.4895,35,15159,18694,13751,18184,11,9,1966,1950,0,4
3.502153846,24,32318,25192,32318,25192,6,1,602,103,1,1
20.42,38,17692,24453,17692,24453,9,7,1743,1790,0,2
14.35633333,22,16102,21360,16102,21360,10,8,1755,1759,0,6
9.153625,8,16628,22024,16628,22024,12,10,1631,1566,0,3
15.35068421,19,18684,22266,18684,22266,12,8,2173,1689,0,3
17.4585,25,18543,23219,18544,23219,16,6,2534,1189,0,6
9.47775,6,17494,19857,17494,19857,14,8,2190,1311,0,7
29.42076923,45,23238,24522,23238,24522,13,7,1925,1230,0,2
20.85138889,36,19104,22304,19104,22304,11,8,1714,1601,0,3
9.439225806,15,18758,22830,17520,22687,10,9,1656,1621,0,3
19.20729412,29,19103,21242,19103,21242,13,9,2088,1779,0,3
19.21692308,31,24569,25996,24569,25996,11,7,2243,2047,0,3
32.096875,39,16553,21504,16553,21504,10,7,1905,2131,0,6
14.26158824,27,23450,24914,22173,24964,12,9,1883,1851,0,3
12.02546154,8,16975,22363,16975,22363,14,8,2136,1396,0,6
15.44505556,26,19547,22746,19547,22746,13,7,1961,1283,0,4
23.5975,33,16777,20844,16777,20844,14,6,2459,1618,0,10
14.6379375,20,19413,24394,19413,24394,11,8,1861,1520,0,10
14.163,26,17108,20961,17108,20961,10,8,1800,1828,0,3
8.740782609,14,13098,18181,13098,18180,9,8,1671,1572,0,3
23.474,32,22229,24726,22229,24726,15,8,2170,1354,0,2
59.52517647,144,17884,21455,17294,21662,12,9,1863,1834,0,1
36.37166667,45,19510,23669,19510,23669,16,8,2997,2333,0,3
9.081454545,6,18853,21306,16455,20076,14,8,2224,1539,0,3
21.635,25,19746,22981,19746,22981,17,7,2710,1409,0,11
14.26855556,26,15898,19588,15898,19588,12,9,1770,1438,0,3
8.715952381,6,21140,24645,21140,24645,13,8,2006,1393,0,1
35.07938462,61,14810,19867,14810,19867,14,9,2307,1706,0,8
8.4577,8,19782,24506,19782,24506,12,9,1798,1479,0,3
14.8012,10,20810,22431,20810,22431,16,7,2837,1634,0,3
17.78681818,35,14327,17947,13790,18010,9,8,1366,1439,0,3
16.53546667,31,16894,21088,16898,21085,12,8,1876,1375,0,3
8.751933333,7,20496,22970,20496,22970,8,8,1478,1584,0,1
14.05786667,22,21425,24758,21425,24758,13,9,1932,1643,0,8
18.50705,32,22176,24171,22176,24171,12,7,1975,1498,0,1
5.285583333,5,17909,20574,17909,20574,9,8,1543,1576,0,2
14.50683333,27,18052,22681,18052,22681,10,10,1406,1483,0,1
34.79866667,46,19136,23324,19136,23324,12,6,1927,1270,0,8
20.04912963,44,32746,25014,32746,25014,6,0,606,166,1,1
68.62528571,59,31910,23991,31910,23991,6,0,625,216,1,8
10.04693333,5,21393,23889,21393,23889,15,7,2475,1394,0,3
24.65866667,39,18785,21372,18785,21372,14,7,2287,1700,0,6
26.93014286,40,23119,25326,23119,25326,11,8,1937,1877,0,3
20.5802,26,21935,23958,21935,23958,15,7,2381,1471,0,3
22.9484,33,21630,22730,21630,22730,17,9,2672,1749,0,3
23.31578571,40,18372,22359,18372,22359,10,8,1925,1984,0,3
9.862413793,7,21190,23691,20533,23995,12,10,1812,1494,0,5
19.99476471,29,19132,23309,19132,23309,14,8,2196,1350,0,4
16.9080625,27,14908,20056,14908,20056,13,8,2156,1701,0,3
4.957333333,4,21396,22911,19443,22488,8,6,1288,1154,0,3
20.95131034,32,19582,21888,19583,21887,14,9,2000,1581,0,5
12.74588889,6,22317,23663,22317,23663,16,7,2658,1391,0,4
20.69041667,34,16675,19806,16675,19806,14,7,2255,1410,0,3
21.926375,30,17227,22246,17227,22246,14,9,2178,1553,0,3
18.3618,32,15654,20350,15654,20350,10,8,1685,1677,0,3
22.28711111,35,22812,24727,22812,24727,14,7,2569,1919,0,6
21.1046,33,22428,25582,22428,25582,14,9,2299,1537,0,3
6.450888889,7,13090,17046,13090,17045,9,9,1412,1648,0,3
4.951076923,6,13993,18046,13993,18046,7,7,1136,1398,0,6
11.75146667,9,20718,24655,20718,24655,12,6,1838,1168,0,3
8.355085714,6,22179,22832,22208,22846,12,8,2005,1631,0,3
6.664307692,6,16927,21485,16926,21486,9,8,1277,1227,0,3
19.28108,31,22275,24817,22275,24817,14,11,2196,1775,0,2
18.4042381,29,16334,19686,16333,19686,12,10,2065,1838,0,1
19.75536,32,19616,21502,19656,21526,13,7,1964,1222,0,7
0.958684982,7,32623,24836,32623,24836,6,0,863,497,1,8
0.059186667,0,32855,25085,32855,25085,6,0,809,464,1,3
22.44102439,49,20233,22645,20537,22455,10,8,1425,1401,0,3
17.19622857,18,19680,23881,19709,23896,14,8,2263,1640,0,3
20.888,30,21310,23339,21310,23339,16,6,2466,1120,0,3
17.0024,28,17542,20843,17542,20843,13,10,1992,1894,0,3
9.32275,8,21141,23996,21141,23996,12,9,1859,1471,0,3
6.285902439,8,15688,20022,15712,20043,7,8,1079,1374,0,3
13.58269565,24,19287,22305,19287,22305,12,9,1807,1666,0,6
29.01563636,38,13539,17778,13539,17778,11,10,2205,2335,0,1
8.702384615,8,18084,19764,18084,19764,12,10,1751,1438,0,8
12.10290909,17,18700,22262,18722,22287,12,8,2060,1641,0,2
33.367375,42,16339,20769,16339,20769,14,8,2754,2165,0,1
28.16627778,42,17296,19635,17296,19635,14,7,2248,1604,0,1
9.647090909,6,20513,22074,20513,22074,14,9,2096,1470,0,8
8.563,7,15959,22798,15956,22800,13,9,2002,1385,0,3
14.50490909,29,17983,20831,17983,20831,7,7,1167,1466,0,6
21.9734375,38,21865,24830,20330,24613,10,8,1504,1381,0,3
6.542272727,5,19751,21017,19751,21017,11,9,1685,1396,0,3
22.233,42,21536,21940,17608,20104,8,7,1209,1221,0,3
34.30313333,45,22437,26062,22437,26062,12,7,2186,1669,0,3
10.10873913,8,16334,20641,16334,20641,12,8,1878,1400,0,3
29.62661538,39,20334,23451,20334,23451,17,7,2704,1282,0,3
20.0186,25,20646,23118,20646,23118,11,8,2290,2187,0,1
5.991272727,8,17058,23107,17054,23109,9,9,1306,1355,0,2
18.19492857,29,18723,22073,18723,22073,13,10,1878,1671,0,1
5.818461538,4,20084,23510,20073,23517,11,8,1703,1313,0,8
25.35809524,37,19055,22650,19055,22650,14,9,2247,1705,0,3
15.02086364,25,15421,19688,14093,19361,12,10,1702,1566,0,3
14.53969231,10,17398,21770,17398,21770,14,8,2376,1541,0,3
23.84227778,35,20046,23718,20046,23718,14,9,2229,1680,0,3
9.174266667,10,19313,23865,19313,23865,11,9,1808,1944,0,3
6.283555556,6,22224,24393,22224,24393,10,9,1546,1461,0,3
24.59681818,41,20290,19910,20290,19910,9,7,1809,1973,0,3
29.58471429,31,14190,19101,14190,19101,15,9,2692,2030,0,6
31.06692308,44,19790,23328,19747,23363,11,8,1892,1941,0,3
20.3274,35,20902,23424,20902,23424,13,7,2248,1557,0,3
9.4894,8,21555,24446,21555,24446,13,9,2001,1560,0,3
28.30926667,47,19974,22140,18269,21633,7,7,1428,1947,0,6
6.024580645,6,15789,21105,14830,21632,11,8,1737,1281,0,6
14.74063415,28,12041,16577,10576,17061,9,9,1735,1750,0,3
12.06507407,24,16860,21362,15764,22006,9,8,1815,1752,0,1
17.24437838,29,18168,21210,18035,21301,11,8,1861,1613,0,2
9.8035,6,19331,24067,19331,24067,15,8,2425,1511,0,1
11.72255556,12,19675,23448,17877,23501,25,37,6104,15173,0,2
10.28464286,9,15907,19911,15907,19911,10,7,1637,1308,0,10
15.746625,22,20154,23139,20154,23139,16,8,2480,1572,0,10
5.039105263,8,17673,21005,17194,21151,6,8,908,1329,0,1
9.532842105,40,25847,22102,25847,22102,6,1,650,311,1,8
30.52042857,41,18625,21507,18625,21507,12,9,2106,1911,0,4
14.55742857,27,18333,20175,16815,19039,11,9,1679,1495,0,3
29.62933333,41,17701,21327,17701,21327,13,9,2442,2332,0,3
18.3965,35,20896,24153,19870,24413,12,9,1712,1431,0,6
10.02978571,8,17139,21913,17139,21913,13,11,1914,1603,0,6
16.84878261,32,18914,22377,18235,22788,9,9,1641,2044,0,3
0.07575,0,33046,25308,33046,25308,6,0,864,497,1,3
16.80933333,32,13964,16814,12014,17724,9,9,1464,1450,0,3
13.69842105,26,19172,22399,19172,22399,13,8,1924,1292,0,3
14.26593333,29,21053,26146,21052,26146,8,8,1425,1647,0,6
25.32671429,39,18938,21085,18938,21085,14,8,2483,1979,0,6
0.068320611,0,32587,24800,32587,24800,6,0,588,69,1,4
0.055439114,0,32863,25091,32863,25091,6,0,590,69,1,3
0.053004525,0,32673,24900,32673,24900,6,0,626,13,1,6
0.05195122,0,32618,24826,32618,24826,6,0,626,12,1,1
3.976833333,5,17503,19890,17503,19890,7,8,1249,1622,0,2
31.3837619,44,20843,22739,18566,22191,10,9,2053,2396,0,3
22.8618,34,16839,20959,16839,20959,13,8,2246,2005,0,3
8.089538462,6,18857,22702,18857,22702,11,8,1935,1634,0,3
29.49754545,43,14653,19579,14653,19579,13,8,2056,1387,0,3
25.19358333,48,24285,24315,24285,24315,10,8,1624,1694,0,6
8.59725,7,21111,24184,20806,24380,12,8,1862,1310,0,3
30.76913333,46,16215,19990,16215,19990,10,8,1678,1898,0,5
10.70354545,7,20833,23758,20833,23758,15,8,2260,1373,0,3
16.07766667,29,17930,19986,16470,19498,12,9,1828,1550,0,2
14.57747619,25,20783,23215,19595,22964,11,9,1703,1754,0,19
9.405142857,9,15463,19157,15463,19158,13,9,1928,1358,0,1
17.34381818,19,15261,22182,15261,22182,16,10,2214,1513,0,8
6.203666667,4,20232,22348,20232,22348,10,7,1529,1246,0,6
10.78122222,6,18602,22524,18602,22524,15,7,2335,1287,0,3
8.111533333,7,15026,18110,15026,18110,11,9,1620,1460,0,6
17.6386087,24,17321,21974,17321,21974,12,8,1972,1603,0,3
15.64728,31,17887,20886,17887,20886,10,7,1993,1949,0,6
16.6803125,28,21644,24522,21644,24522,10,8,1646,1527,0,3
18.37984615,34,18077,21335,16506,20961,7,8,966,1305,0,6
7.0375,6,17968,21219,15975,20833,9,8,1563,1657,0,3
7.744166667,6,18582,22540,18582,22540,12,8,1822,1466,0,6
17.34053333,28,20926,22897,20926,22897,12,9,2343,2066,0,4
30.8681,42,23106,24522,23106,24522,13,8,2044,1661,0,1
25.71221429,39,19514,20700,18039,20558,9,7,1812,2008,0,2
8.013133333,9,16785,20192,16785,20192,10,8,1664,1527,0,6
10.47169231,8,16745,21028,14585,19697,13,9,2089,1512,0,3
23.0629375,37,18310,22390,18265,22426,14,7,2335,1721,0,9
18.041375,35,19166,20525,19166,20525,7,8,1317,2147,0,3
14.179,27,19150,21512,19150,21512,10,10,1658,2076,0,3
0.07876,0,32788,25007,32788,25007,6,0,1128,574,1,3
19.68718182,25,16636,20885,16636,20885,14,8,2316,1663,0,1
10.21258333,8,16444,19591,16444,19591,14,9,2204,1355,0,2
8.831133333,13,22502,23235,22502,23235,9,8,1493,1700,0,3
7.101333333,7,15038,19240,15037,19240,10,9,1609,1511,0,6
17.52016667,32,19035,23122,19035,23122,13,8,1982,1296,0,3
9.790214286,8,21119,24177,21119,24177,14,10,2030,1504,0,3
18.21216667,31,15402,17240,15402,17240,12,9,2202,2058,0,3
12.26646667,29,19781,22064,19781,22064,7,7,1417,1888,0,3
14.01181818,15,21358,23288,21358,23288,13,7,2329,1493,0,1
