B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A1,A2,class
21.28977778,35.66515554,1272.00332,23291.16667,25743.56995,662731393.8,23291.16667,25743.56995,662731393.8,13.38888889,9.117375895,83.12654321,2322.222222,1946.98301,3790742.84,1,3,0
7.081666667,7.533612487,56.75531711,18131.27778,22733.25615,516800935,18131.46111,22733.10994,516794287.4,10.38888889,9.000857298,81.0154321,1474,1352.010273,1827931.778,1,3,0
8.978,8.399379328,70.54957309,20251.72727,22834.09424,521395859.7,20251.72727,22834.09424,521395859.7,13.54545455,10.60757565,112.5206612,1972.863636,1676.248715,2809809.754,1,3,0
20.75335294,31.14439495,969.9733366,19554.35294,23596.15971,556778752.9,20028.72353,24420.89778,596380248.6,13.52941176,11.21510351,125.7785467,1868.617647,1606.563139,2581045.119,1,3,0
14.24836842,27.23248266,741.6081117,19751.63158,22968.17555,527537088.2,16656.99737,21309.85307,454109837.7,11.15789474,9.466078819,89.6066482,1727.131579,1510.102004,2280408.062,1,3,0
0.124714286,0.295624781,0.087394011,32743.70849,24945.70319,622288107.4,32743.70849,24945.70319,622288107.4,6.474903475,0.552589106,0.30535472,706.2249035,357.0913608,127514.24,1,3,1
2.978462243,19.39194386,376.0474867,32703.10526,24938.03467,621905573,32703.10526,24938.03467,621905573,6.421052632,0.716791599,0.513790196,579.0377574,85.24463218,7266.647316,1,3,1
0.058931298,0.010451408,0.000109232,32723.58206,24951.9522,622599918.5,32723.58206,24951.9522,622599918.5,6.461832061,0.569981654,0.324879086,811.0171756,426.0287881,181500.5283,1,3,1
0.054523077,0.008577444,7.36E-05,32404.68462,24606.46707,605478221.6,32404.68462,24606.46707,605478221.6,6.484615385,0.52965323,0.280532544,755.3153846,364.4058185,132791.6005,1,3,1
17.5522,29.16914346,850.8389302,15685.86667,20925.24783,437865996.6,15685.86667,20925.24783,437865996.6,14.33333333,8.295915997,68.82222222,2207.666667,1505.90483,2267749.356,1,3,0
14.62,29.48074786,869.1144946,19326.97222,21957.52936,482133095.8,19326.39722,21957.88148,482148559.1,10.5,9.441339359,89.13888889,1584.555556,1473.674629,2171716.914,1,3,0
12.626,34.57319565,1195.305858,15507.18182,18781.18617,352732953.8,15507.18182,18781.18617,352732953.8,4.681818182,5.488718708,30.12603306,731.3181818,1124.308935,1264070.581,1,3,0
14.5438125,28.47973795,811.0954735,19718.875,22527.12779,507471486.6,19718.875,22527.12779,507471486.6,11.5,9.327379053,87,1861,1732.674901,3002162.313,1,3,0
12.235125,28.62750062,819.533792,18965.5625,24313.3518,591139075.7,18965.5625,24313.3518,591139075.7,7.84375,7.738335476,59.88183594,1260.3125,1539.181447,2369079.527,1,3,0
17.9918125,28.8157491,830.3473964,18957,22458.23124,504372150.6,18957,22458.23124,504372150.6,13.3125,8.614803756,74.21484375,2215.6875,1902.03078,3617721.09,1,3,0
20.20775,31.46671298,990.154026,20610.66667,23584.24867,556216785.6,20610.66667,23584.24867,556216785.6,12.375,7.93626959,62.984375,2321.541667,1996.944791,3987788.498,1,3,0
7.601083333,7.334464528,53.79436991,17356.83333,21045.26335,442903109.5,17356.83333,21045.26335,442903109.5,12,9.596006114,92.08333333,1710.416667,1472.867269,2169337.993,1,3,0
12.4150625,4.290725106,18.41032193,20734.6875,23022.2506,530024022.5,20734.6875,23022.2506,530024022.5,18.25,5.22613624,27.3125,2714.25,871.2308463,759043.1875,1,3,0
7.922333333,6.144216133,37.75139189,18404.19444,22462.57588,504567315,17681.09167,22562.61873,509071764.1,12.38888889,8.889062498,79.0154321,1911.5,1526.805061,2331133.694,1,3,0
19.50169231,31.55437193,995.6783876,20339.5,23009.67594,529445186.9,19636.08846,23281.36392,542021905.8,13.73076923,8.600347454,73.96597633,2046.384615,1348.956151,1819682.698,1,3,0
13.74216667,33.48171175,1121.025022,19137.5,21918.38899,480415775.8,19135.05417,21919.92429,480483081.1,7.458333333,7.724307772,59.66493056,1132.708333,1268.946954,1610226.373,1,3,0
10.42692308,7.4380053,55.32392284,21584.92308,23607.48204,557313208.5,21584.92308,23607.48204,557313208.5,14,9.973040583,99.46153846,2166.461538,1521.632985,2315366.941,1,3,0
12.936,21.8844946,478.9311038,19699.11111,22899.82454,524401963.9,19699.11111,22899.82454,524401963.9,10.69444444,9.203922607,84.71219136,1732.277778,1910.628832,3650502.534,1,3,0
7.563736842,7.455546306,55.58517072,17575.36842,21253.78704,451723463.4,17575.36842,21253.78704,451723463.4,8.210526316,7.345452925,53.95567867,1354.657895,1619.132878,2621591.278,1,3,0
18.49378571,29.15899641,850.2470715,21171.42857,24614.33366,605865421.3,21171.42857,24614.33366,605865421.3,15.39285714,9.017202947,81.30994898,2504.571429,1763.440416,3109722.102,1,3,0
11.6757931,7.964107502,63.4270083,15720.03448,20355.0658,414328703.9,16755.96552,20299.92486,412086949.1,16.24137931,9.518240827,90.59690844,2565.689655,1670.235914,2789688.007,1,3,0
16.38428571,27.54823728,758.9053773,18869.90476,23155.07881,536157674.5,18869.90476,23155.07881,536157674.5,14.64285714,8.801572989,77.46768707,2243.333333,1696.152406,2876932.984,1,3,0
18.89263158,27.12199997,735.6028823,20352.05263,21892.37639,479276143.9,20352.05263,21892.37639,479276143.9,13.97368421,9.030611223,81.55193906,2130.131579,1487.818399,2213603.588,1,3,0
23.76368571,40.67868244,1654.755205,22298.91429,23742.62249,563712122.7,19464.66571,23075.75597,532490513.7,8.828571429,7.38138862,54.48489796,1713.314286,2017.135122,4068834.101,1,3,0
19.8625,31.77568766,1009.694327,19039.875,22910.87033,524907979.2,19039.875,22910.87033,524907979.2,13.16666667,9.213516641,84.88888889,1807.375,1441.12869,2076851.901,1,3,0
22.34313333,40.78430403,1663.359455,18327.76667,22753.18322,517707346.5,18327.76667,22753.18322,517707346.5,9.2,8.034923771,64.56,1481.833333,1528.882927,2337483.006,1,3,0
20.31656522,35.35448893,1249.939888,22664.71739,24180.25386,584684676.6,21527.83261,23898.60359,571143253.6,26.7826087,58.3217884,3401.431002,66458.13043,346571.7331,1.20E+11,1,3,0
13.6964,17.90740833,320.6752732,16545.8,21274.22128,452592491.1,16546.06667,21274.01393,452583668.7,13.03333333,9.54806554,91.16555556,1932.633333,1564.976986,2449152.966,1,3,0
5.949363636,6.317996536,39.91708023,20173.36364,23690.35882,561233101.1,20173.36364,23690.35882,561233101.1,10.18181818,9.143484335,83.60330579,1459.136364,1468.504598,2156505.754,1,3,0
12.85446667,13.6516063,186.3663545,19395.76667,21904.0684,479788212.4,19395.76667,21904.0684,479788212.4,8.4,8.006663891,64.10666667,1427.866667,1884.861051,3552701.182,1,3,0
12.93058824,27.71847991,768.3141286,22130.76471,22344.25331,499265655.9,20810.03824,22173.04758,491644038.8,9.323529412,7.876699026,62.04238754,1526.558824,1438.44007,2069109.835,1,3,0
20.36630769,33.09641458,1095.372658,22421.88462,25667.2665,658808569.6,22421.88462,25667.2665,658808569.6,10.96153846,7.261493644,52.72928994,2088.923077,1988.299891,3953336.456,1,3,0
20.52790909,32.24663991,1039.845785,20098.09091,22849.85279,522115772.4,20098.09091,22849.85279,522115772.4,15.68181818,8.357829011,69.85330579,2617.863636,1880.485099,3536224.209,1,3,0
24.01293333,40.41807673,1633.620927,18378.5,21509.07854,462640459.8,18280.27667,21562.83819,464955990.7,9.4,9.765927162,95.37333333,1448.4,1588.496618,2523321.507,1,3,0
28.1925625,39.4285308,1554.609041,17638.375,21895.769,479424700.2,17638.625,21895.56766,479415883,15.1875,8.907291606,79.33984375,2405.5625,1747.996692,3055492.434,1,3,0
5.209,5.343914398,28.55742109,14756.86364,20987.9725,440494989.8,14744.46818,20993.48398,440726369.5,9.863636364,7.938945743,63.0268595,1527.727273,1317.62704,1736141.017,1,3,0
18.89736,35.66621051,1272.078572,19683.16,22365.74869,500226714.6,17482.432,21341.25822,455449302.6,12.52,20.72799074,429.6496,15585.9,98475.12309,9697349868,1,3,0
30.73275,43.93744427,1930.499009,19996.625,22443.04676,503690347.7,20638.79063,23086.63755,532992833.5,12.5625,9.229495856,85.18359375,2170.21875,2178.63707,4746459.483,1,3,0
